"approval_ym","project_state","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2021-06-01","IL","177","1","0.005649717514124294","6386.76","586251.98"
"2023-05-01","AL","34","0","0","0.00","634858.82"
"2024-04-01","ME","40","0","0","0.00","286525.00"
"2020-01-01","TN","22","1","0.045454545454545456","33122.54","564640.91"
"2024-04-01","TX","476","0","0","0.00","565843.07"
"2023-01-01","KY","32","1","0.03125","154862.53","435375.00"
"2023-01-01","ID","35","0","0","0.00","430694.29"
"2020-12-01","WI","89","2","0.02247191011235955","1907570.08","548139.33"
"2023-03-01","MN","171","4","0.023391812865497075","193083.94","401467.84"
"2022-04-01","VT","15","0","0","0.00","476573.33"
"2021-06-01","CT","62","1","0.016129032258064516","118948.83","369232.26"
"2022-09-01","CO","127","1","0.007874015748031496","140191.99","721275.59"
"2020-06-01","AK","6","0","0","0.00","455300.00"
"2024-02-01","IL","179","1","0.00558659217877095","49992.93","480686.03"
"2023-04-01","OH","310","1","0.0032258064516129032","48798.51","238772.26"
"2021-08-01","MT","28","0","0","0.00","384417.86"
"2020-02-01","MD","57","1","0.017543859649122806","14588.29","538987.72"
"2022-01-01","PA","125","1","0.008","29998.08","488029.60"
"2022-01-01","MO","67","2","0.029850746268656716","299755.07","478886.57"
"2020-12-01","AZ","64","1","0.015625","316681.45","585982.81"
"2021-10-01","PA","84","3","0.03571428571428571","82142.01","300667.86"
"2024-08-01","DC","18","0","0","0.00","818333.33"
"2024-07-01","IN","113","0","0","0.00","432818.58"
"2022-02-01","AZ","60","1","0.016666666666666666","23943.38","571926.67"
"2023-12-01","KS","30","0","0","0.00","457643.33"
"2024-08-01","WA","184","0","0","0.00","478596.20"
"2021-05-01","OH","290","3","0.010344827586206896","252467.19","339233.10"
"2021-12-01","DE","8","0","0","0.00","85150.00"
"2024-12-01","AK","14","0","0","0.00","590735.71"
"2019-12-01","PR","53","0","0","0.00","120405.66"
"2020-03-01","ND","11","0","0","0.00","232354.55"
"2023-11-01","MN","102","0","0","0.00","572639.22"
"2023-08-01","NC","121","0","0","0.00","612903.31"
"2023-12-01","NJ","169","0","0","0.00","284647.93"
"2023-07-01","NJ","174","2","0.011494252873563218","47833.62","488981.61"
"2024-11-01","WV","22","0","0","0.00","371209.09"
"2024-11-01","DE","18","0","0","0.00","180038.89"
"2024-01-01","MT","24","0","0","0.00","361325.00"
"2022-06-01","RI","14","0","0","0.00","747107.14"
"2021-09-01","WA","225","1","0.0044444444444444444","9874.87","996279.11"
"2023-11-01","AR","21","0","0","0.00","437185.71"
"2025-03-01","ME","62","0","0","0.00","231929.03"
"2020-08-01","KY","32","2","0.0625","726639.04","646840.63"
"2021-12-01","AZ","64","0","0","0.00","727810.94"
"2021-03-01","GA","138","2","0.014492753623188406","19501.93","882921.01"
"2024-12-01","MN","127","0","0","0.00","406002.36"
"2022-03-01","PR","38","0","0","0.00","248484.21"
"2023-10-01","AK","12","0","0","0.00","745716.67"
"2021-10-01","SC","22","0","0","0.00","396704.55"
"2024-03-01","VA","117","0","0","0.00","472090.60"
"2024-09-01","IA","47","0","0","0.00","466106.38"
"2020-05-01","LA","14","1","0.07142857142857142","132154.61","590250.00"
"2025-04-01","AR","35","0","0","0.00","390137.14"
"2023-11-01","SD","8","0","0","0.00","513775.00"
"2022-08-01","AR","19","0","0","0.00","323694.74"
"2020-05-01","VT","16","0","0","0.00","124406.25"
"2024-01-01","GU","1","0","0","0.00","100000.00"
