"approval_ym","size_bucket","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2022-05-01","≤50k","1130","50","0.04424778761061947","965966.75","29915.93"
"2022-06-01","150-350k","975","20","0.020512820512820513","4967361.56","266718.56"
"2022-06-01","350-2M","1310","6","0.004580152671755725","5386938.70","920457.56"
"2022-06-01","50-150k","1006","19","0.018886679920477135","2013712.33","106243.54"
"2022-06-01",">2M","329","1","0.00303951367781155","2418403.17","3244848.33"
"2022-06-01","≤50k","1264","46","0.03639240506329114","1093211.38","29916.14"
"2022-07-01","150-350k","864","12","0.013888888888888888","3421528.36","270699.31"
"2022-07-01","350-2M","1136","10","0.008802816901408451","7691662.61","892284.60"
"2022-07-01","50-150k","955","38","0.039790575916230364","4040624.73","107791.73"
"2022-07-01",">2M","311","0","0","0.00","3335546.62"
"2022-07-01","≤50k","992","34","0.034274193548387094","735746.23","30113.81"
"2022-08-01","150-350k","949","7","0.007376185458377239","1721825.68","267823.18"
"2022-08-01","350-2M","1155","4","0.003463203463203463","2702205.24","887767.62"
"2022-08-01","50-150k","1033","32","0.030977734753146177","3574879.46","110464.38"
"2022-08-01",">2M","288","1","0.003472222222222222","1796125.19","3167470.83"
"2022-08-01","≤50k","1243","41","0.03298471440064361","1041370.85","29324.38"
"2022-09-01","150-350k","956","11","0.011506276150627616","3073797.61","272470.29"
"2022-09-01","350-2M","1207","4","0.0033140016570008283","2520914.89","944897.35"
"2022-09-01","50-150k","1027","32","0.0311587147030185","3793831.89","108624.54"
"2022-09-01",">2M","382","3","0.007853403141361256","10731833.67","3358764.40"
"2022-09-01","≤50k","1213","43","0.03544929925803792","1062156.61","30483.26"
"2022-10-01","150-350k","785","10","0.012738853503184714","2414203.07","265095.03"
"2022-10-01","350-2M","1098","3","0.00273224043715847","3336698.47","860828.78"
"2022-10-01","50-150k","913","29","0.03176341730558598","3444030.30","111036.80"
"2022-10-01",">2M","276","0","0","0.00","3267589.13"
"2022-10-01","≤50k","1106","47","0.042495479204339964","973942.36","30222.15"
"2022-11-01","150-350k","831","9","0.010830324909747292","2107736.69","266942.96"
"2022-11-01","350-2M","1160","4","0.0034482758620689655","3367734.95","856362.93"
"2022-11-01","50-150k","938","36","0.03837953091684435","3687958.44","110880.17"
"2022-11-01",">2M","270","1","0.003703703703703704","4376649.42","3316404.07"
"2022-11-01","≤50k","1119","38","0.03395889186773905","961471.44","30096.07"
"2022-12-01","150-350k","891","9","0.010101010101010102","2347733.11","265504.60"
"2022-12-01","350-2M","1211","2","0.0016515276630883566","1500449.36","863488.93"
"2022-12-01","50-150k","910","26","0.02857142857142857","2839100.24","110184.51"
"2022-12-01",">2M","275","0","0","0.00","3347505.09"
"2022-12-01","≤50k","1180","27","0.02288135593220339","689300.13","29206.95"
"2023-01-01","150-350k","815","14","0.01717791411042945","2807785.17","263042.09"
"2023-01-01","350-2M","937","2","0.0021344717182497333","1766344.03","839410.03"
"2023-01-01","50-150k","897","17","0.0189520624303233","1967583.83","109543.70"
"2023-01-01",">2M","205","1","0.004878048780487805","2637185.67","3262246.83"
"2023-01-01","≤50k","1141","35","0.03067484662576687","958812.76","29728.75"
"2023-02-01","150-350k","801","3","0.003745318352059925","630651.66","267866.42"
"2023-02-01","350-2M","923","2","0.0021668472372697724","1057100.12","831103.36"
"2023-02-01","50-150k","975","30","0.03076923076923077","3505101.82","108769.54"
"2023-02-01",">2M","206","1","0.0048543689320388345","1925483.94","3276359.71"
"2023-02-01","≤50k","1140","23","0.02017543859649123","548233.70","30015.88"
"2023-03-01","150-350k","1102","7","0.006352087114337568","1798531.21","262875.95"
"2023-03-01","350-2M","1205","3","0.0024896265560165973","2780239.71","846007.80"
"2023-03-01","50-150k","1297","28","0.02158828064764842","3242507.46","109228.84"
"2023-03-01",">2M","293","0","0","0.00","3303745.39"
"2023-03-01","≤50k","1461","38","0.026009582477754964","981880.16","30165.16"
"2023-04-01","150-350k","929","7","0.007534983853606028","1631477.53","262565.98"
"2023-04-01","350-2M","990","2","0.00202020202020202","1367128.37","834969.19"
"2023-04-01","50-150k","1023","21","0.020527859237536656","2440765.81","109205.87"
"2023-04-01",">2M","226","0","0","0.00","3245311.95"
"2023-04-01","≤50k","1219","35","0.02871205906480722","946678.60","29769.32"
"2023-05-01","150-350k","995","4","0.004020100502512563","975769.75","262038.49"
"2023-05-01","350-2M","1195","1","0.0008368200836820083","957192.01","843886.44"
"2023-05-01","50-150k","1176","24","0.02040816326530612","2892274.76","110633.84"
"2023-05-01",">2M","250","0","0","0.00","3354762.00"
"2023-05-01","≤50k","1408","31","0.022017045454545456","745168.82","30239.13"
"2023-06-01","150-350k","948","4","0.004219409282700422","836625.44","264166.14"
"2023-06-01","350-2M","1159","0","0","0.00","836503.11"
"2023-06-01","50-150k","1222","19","0.015548281505728314","2037494.05","109630.11"
"2023-06-01",">2M","250","0","0","0.00","3249836.40"
"2023-06-01","≤50k","1258","17","0.013513513513513514","357608.95","30741.49"
"2023-07-01","150-350k","848","6","0.007075471698113208","1817596.34","262939.98"
"2023-07-01","350-2M","1185","2","0.0016877637130801688","3385720.55","847636.03"
"2023-07-01","50-150k","1026","18","0.017543859649122806","2197585.35","112560.33"
"2023-07-01",">2M","238","0","0","0.00","3343663.45"
"2023-07-01","≤50k","1181","19","0.016088060965283656","551045.22","30284.42"
"2023-08-01","150-350k","863","3","0.0034762456546929316","828744.34","259533.72"
"2023-08-01","350-2M","1109","2","0.0018034265103697023","1183248.06","822533.45"
"2023-08-01","50-150k","1186","12","0.01011804384485666","1354368.69","111396.71"
"2023-08-01",">2M","232","0","0","0.00","3320662.07"
"2023-08-01","≤50k","1411","25","0.01771793054571226","736851.85","30396.03"
"2023-09-01","150-350k","1359","2","0.0014716703458425313","579719.27","260419.65"
"2023-09-01","350-2M","2025","0","0","0.00","806168.69"
"2023-09-01","50-150k","1681","21","0.012492563950029744","2641886.17","111505.71"
"2023-09-01",">2M","516","0","0","0.00","3366338.95"
"2023-09-01","≤50k","1853","11","0.0059363194819212085","308549.95","31520.94"
"2023-10-01","150-350k","647","1","0.0015455950540958269","349995.69","262345.29"
"2023-10-01","350-2M","852","1","0.0011737089201877935","998512.00","841742.72"
"2023-10-01","50-150k","974","6","0.006160164271047228","645774.56","112934.50"
"2023-10-01",">2M","167","0","0","0.00","3359571.26"
"2023-10-01","≤50k","1305","13","0.00996168582375479","338159.44","30055.25"
"2023-11-01","150-350k","896","1","0.0011160714285714285","339837.55","263779.46"
"2023-11-01","350-2M","1370","0","0","0.00","835272.55"
"2023-11-01","50-150k","1416","12","0.00847457627118644","1648623.02","116827.97"
"2023-11-01",">2M","304","0","0","0.00","3417594.41"
"2023-11-01","≤50k","1606","7","0.0043586550435865505","224794.51","31618.56"
"2023-12-01","150-350k","821","2","0.00243605359317905","362152.27","256046.04"
"2023-12-01","350-2M","1123","0","0","0.00","831324.84"
"2023-12-01","50-150k","1344","7","0.005208333333333333","881874.69","117187.43"
"2023-12-01",">2M","224","0","0","0.00","3352282.14"
"2023-12-01","≤50k","1484","5","0.0033692722371967657","148124.59","31815.30"
"2024-01-01","150-350k","849","0","0","0.00","257379.98"
"2024-01-01","350-2M","1171","1","0.0008539709649871904","511353.29","814883.95"
"2024-01-01","50-150k","1422","9","0.006329113924050633","1119440.41","116445.08"
"2024-01-01",">2M","219","0","0","0.00","3295344.75"
"2024-01-01","≤50k","1603","10","0.006238303181534623","249495.54","31593.89"
"2024-02-01","150-350k","856","0","0","0.00","258048.13"
"2024-02-01","350-2M","1228","0","0","0.00","808925.08"
"2024-02-01","50-150k","1398","5","0.00357653791130186","628452.48","116953.22"
"2024-02-01",">2M","208","0","0","0.00","3319430.77"
"2024-02-01","≤50k","1431","4","0.002795248078266946","158930.79","33399.58"
"2024-03-01","150-350k","993","1","0.0010070493454179255","235873.00","255822.76"
"2024-03-01","350-2M","1539","0","0","0.00","796038.92"
"2024-03-01","50-150k","1625","6","0.0036923076923076922","802508.88","114072.00"
"2024-03-01",">2M","282","0","0","0.00","3417765.25"
"2024-03-01","≤50k","1953","5","0.002560163850486431","177129.22","32620.28"
"2024-04-01","150-350k","1040","0","0","0.00","251743.37"
"2024-04-01","350-2M","1398","0","0","0.00","802021.53"
"2024-04-01","50-150k","1626","3","0.0018450184501845018","423571.10","114041.88"
"2024-04-01",">2M","256","0","0","0.00","3425203.13"
"2024-04-01","≤50k","1882","7","0.0037194473963868225","184798.13","33025.98"
"2024-05-01","150-350k","1044","1","0.0009578544061302681","345125.25","252612.64"
"2024-05-01","350-2M","1563","0","0","0.00","808083.05"
"2024-05-01","50-150k","1639","1","0.0006101281269066504","145751.53","113835.81"
"2024-05-01",">2M","291","0","0","0.00","3398730.24"
"2024-05-01","≤50k","1895","4","0.0021108179419525065","143926.73","33379.42"
"2024-06-01","150-350k","986","0","0","0.00","253880.53"
"2024-06-01","350-2M","1516","0","0","0.00","818665.70"
"2024-06-01","50-150k","1499","0","0","0.00","114715.14"
"2024-06-01",">2M","332","0","0","0.00","3351628.92"
"2024-06-01","≤50k","1570","2","0.0012738853503184713","84680.83","33649.81"
"2024-07-01","150-350k","1096","0","0","0.00","253951.46"
"2024-07-01","350-2M","1598","0","0","0.00","823972.40"
"2024-07-01","50-150k","1536","1","0.0006510416666666666","100276.99","114633.85"
"2024-07-01",">2M","320","0","0","0.00","3466513.44"
"2024-07-01","≤50k","1806","1","0.0005537098560354374","48478.82","34966.94"
"2024-08-01","150-350k","1191","0","0","0.00","256039.29"
"2024-08-01","350-2M","1700","0","0","0.00","807956.06"
"2024-08-01","50-150k","1623","0","0","0.00","114399.45"
"2024-08-01",">2M","334","0","0","0.00","3401632.04"
"2024-08-01","≤50k","1813","1","0.0005515719801434088","49000.00","35611.80"
"2024-09-01","150-350k","1275","0","0","0.00","252823.53"
"2024-09-01","350-2M","2151","0","0","0.00","907932.68"
"2024-09-01","50-150k","1746","0","0","0.00","112182.76"
"2024-09-01",">2M","355","0","0","0.00","3449875.77"
"2024-09-01","≤50k","1820","0","0","0.00","35193.30"
"2024-10-01","150-350k","1237","0","0","0.00","255410.91"
"2024-10-01","350-2M","1657","0","0","0.00","722614.54"
"2024-10-01","50-150k","1849","0","0","0.00","113247.32"
"2024-10-01",">2M","299","0","0","0.00","3398323.75"
"2024-10-01","≤50k","1883","0","0","0.00","34902.07"
"2024-11-01","150-350k","1120","0","0","0.00","253510.98"
"2024-11-01","350-2M","1440","0","0","0.00","746455.00"
"2024-11-01","50-150k","1511","0","0","0.00","111955.66"
"2024-11-01",">2M","280","0","0","0.00","3387716.43"
"2024-11-01","≤50k","1640","0","0","0.00","34670.12"
"2024-12-01","150-350k","1347","0","0","0.00","254046.55"
"2024-12-01","350-2M","1905","0","0","0.00","785347.45"
"2024-12-01","50-150k","1819","0","0","0.00","113770.31"
"2024-12-01",">2M","380","0","0","0.00","3389573.42"
"2024-12-01","≤50k","1621","0","0","0.00","34957.37"
"2025-01-01","150-350k","1313","0","0","0.00","258410.13"
"2025-01-01","350-2M","1740","0","0","0.00","755630.92"
"2025-01-01","50-150k","1909","0","0","0.00","113168.36"
"2025-01-01",">2M","322","0","0","0.00","3416972.67"
"2025-01-01","≤50k","1890","0","0","0.00","34747.41"
"2025-02-01","150-350k","1312","0","0","0.00","255525.53"
