"approval_ym","processing_bucket","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2023-05-01","CAPLINES","19","0","0","0.00","929210.53"
"2023-05-01","COMMUNITY ADVANTAGE","98","2","0.02040816326530612","241116.64","174710.20"
"2023-05-01","EXPORT/TRADE","11","0","0","0.00","1543809.09"
"2023-05-01","EXPRESS","2309","34","0.014724989172802079","1336742.93","99706.32"
"2023-05-01","PLP","2335","24","0.010278372591006424","3992545.77","774541.28"
"2023-05-01","STANDARD","252","0","0","0.00","754011.51"
"2023-06-01","CAPLINES","24","0","0","0.00","1191666.67"
"2023-06-01","COMMUNITY ADVANTAGE","75","2","0.02666666666666667","248031.99","172982.67"
"2023-06-01","EXPORT/TRADE","19","0","0","0.00","2665873.68"
"2023-06-01","EXPRESS","2239","27","0.01205895489057615","1261378.74","104972.80"
"2023-06-01","PLP","2192","11","0.005018248175182482","1722317.71","739907.39"
"2023-06-01","STANDARD","288","0","0","0.00","888542.01"
"2023-07-01","CAPLINES","19","0","0","0.00","1105000.00"
"2023-07-01","COMMUNITY ADVANTAGE","90","1","0.011111111111111112","289438.63","168231.11"
"2023-07-01","EXPORT/TRADE","25","0","0","0.00","1981624.00"
"2023-07-01","EXPRESS","1904","23","0.01207983193277311","976710.40","98948.32"
"2023-07-01","PLP","2216","21","0.00947653429602888","6685798.43","781348.38"
"2023-07-01","STANDARD","224","0","0","0.00","754127.23"
"2023-08-01","CAPLINES","15","0","0","0.00","1170800.00"
"2023-08-01","COMMUNITY ADVANTAGE","43","2","0.046511627906976744","492249.42","187076.74"
"2023-08-01","EXPORT/TRADE","15","0","0","0.00","2250126.67"
"2023-08-01","EXPRESS","2209","22","0.009959257582616569","780264.05","94441.69"
"2023-08-01","PLP","2325","18","0.007741935483870968","2830699.47","698367.78"
"2023-08-01","STANDARD","194","0","0","0.00","978768.56"
"2023-09-01","CAPLINES","31","0","0","0.00","1377529.03"
"2023-09-01","COMMUNITY ADVANTAGE","11","0","0","0.00","222200.00"
"2023-09-01","EXPORT/TRADE","27","0","0","0.00","2339092.59"
"2023-09-01","EXPRESS","2903","13","0.0044781260764726145","559267.78","101206.48"
"2023-09-01","PLP","4154","20","0.004814636494944632","2825016.49","802737.55"
"2023-09-01","STANDARD","308","1","0.003246753246753247","145871.12","755210.71"
"2023-10-01","CAPLINES","11","0","0","0.00","1243181.82"
"2023-10-01","COMMUNITY ADVANTAGE","3","0","0","0.00","104366.67"
"2023-10-01","EXPORT/TRADE","9","0","0","0.00","2173111.11"
