"approval_ym","naics_code_2","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2021-07-01","11","88","0","0","0.00","725198.86"
"2021-04-01","49","19","2","0.10526315789473684","603105.59","702968.42"
"2020-11-01","72","224","0","0","0.00","746482.14"
"2024-11-01","54","683","0","0","0.00","379566.47"
"2023-08-01","45","300","2","0.006666666666666667","34527.92","513814.00"
"2025-03-01","11","73","0","0","0.00","623657.53"
"2020-04-01","61","84","2","0.023809523809523808","258115.30","484525.00"
"2024-01-01","92","8","1","0.125","15937.20","80937.50"
"2023-01-01","52","57","1","0.017543859649122806","175000.00","520473.68"
"2021-06-01","72","627","13","0.02073365231259968","3263611.81","961387.40"
"2021-12-01","61","43","0","0","0.00","343797.67"
"2023-09-01","92","3","0","0","0.00","238500.00"
"2021-07-01","52","133","2","0.015037593984962405","281607.15","696456.39"
"2022-07-01","42","166","3","0.018072289156626505","1806113.99","742062.05"
"2021-01-01","52","34","1","0.029411764705882353","418193.79","687555.88"
"2020-05-01","44","195","6","0.03076923076923077","768884.12","723905.64"
"2021-01-01","72","116","0","0","0.00","640625.00"
"2022-10-01","31","87","0","0","0.00","584535.63"
"2021-11-01","53","91","3","0.03296703296703297","129704.61","727764.84"
"2021-04-01","72","514","3","0.005836575875486381","651416.93","883747.28"
"2025-01-01","51","70","0","0","0.00","277695.71"
"2021-08-01","42","301","4","0.013289036544850499","339012.39","1016913.29"
"2021-12-01","42","134","8","0.05970149253731343","328056.28","788050.00"
"2023-07-01","32","49","1","0.02040816326530612","28667.75","986908.16"
"2023-09-01","22","7","0","0","0.00","146471.43"
"2025-03-01","81","892","0","0","0.00","412884.19"
"2021-07-01","49","30","1","0.03333333333333333","1163391.39","807673.33"
"2023-11-01","55","2","0","0","0.00","68500.00"
"2023-11-01","23","731","2","0.0027359781121751026","187761.19","336076.47"
"2025-06-01","55","2","0","0","0.00","2331500.00"
"2023-06-01","48","272","5","0.01838235294117647","683856.75","252349.63"
"2024-09-01","81","752","0","0","0.00","443293.62"
"2020-08-01","55","2","0","0","0.00","862800.00"
"2024-03-01","56","399","0","0","0.00","298831.83"
"2023-05-01","11","59","0","0","0.00","571410.17"
"2025-05-01","44","424","0","0","0.00","561362.74"
"2025-05-01","48","276","0","0","0.00","356211.23"
"2022-01-01","51","32","1","0.03125","29998.08","505540.63"
"2021-05-01","54","343","3","0.008746355685131196","1006474.83","480579.30"
"2022-12-01","45","286","4","0.013986013986013986","541345.55","501935.66"
"2024-01-01","11","42","0","0","0.00","641111.90"
"2022-06-01","31","95","0","0","0.00","471018.95"
"2023-04-01","53","101","4","0.039603960396039604","181798.97","489923.76"
"2020-10-01","52","68","4","0.058823529411764705","1074961.34","533269.12"
"2019-11-01","31","87","2","0.022988505747126436","82559.86","674701.15"
"2022-09-01","92","3","0","0","0.00","102000.00"
"2024-02-01","44","312","0","0","0.00","508866.03"
"2021-09-01","62","855","6","0.007017543859649123","1009615.01","962612.51"
"2021-03-01","81","361","5","0.013850415512465374","2100864.60","554356.51"
"2025-05-01","61","164","0","0","0.00","484198.78"
"2024-01-01","81","476","1","0.0021008403361344537","20000.00","357454.62"
"2025-05-01","31","125","0","0","0.00","432484.00"
"2024-12-01","42","305","0","0","0.00","659111.80"
"2022-08-01","45","287","5","0.017421602787456445","475463.74","626135.54"
"2023-03-01","72","702","7","0.009971509971509971","743497.08","619593.02"
"2024-07-01","56","380","0","0","0.00","396628.68"
"2025-06-01","48","131","0","0","0.00","347518.32"
"2021-06-01","11","69","0","0","0.00","657986.96"
"2024-11-01","23","816","0","0","0.00","310784.93"
"2022-01-01","53","98","1","0.01020408163265306","6160.37","735102.04"
"2023-02-01","45","239","2","0.008368200836820083","291160.86","541825.94"
"2020-02-01","32","52","2","0.038461538461538464","544616.74","455982.69"
"2019-11-01","48","204","8","0.0392156862745098","592538.61","333045.10"
"2024-05-01","45","355","0","0","0.00","437129.01"
"2023-08-01","31","79","1","0.012658227848101266","149268.25","577522.78"
"2020-02-01","52","61","1","0.01639344262295082","151460.49","549160.66"
"2020-12-01","62","388","5","0.01288659793814433","348202.24","719311.34"
"2022-11-01","61","63","2","0.031746031746031744","124842.95","284352.38"
"2021-10-01","31","44","0","0","0.00","326175.00"
"2021-07-01","48","269","12","0.04460966542750929","506978.66","434415.24"
"2025-02-01","54","772","0","0","0.00","374395.34"
"2024-01-01","51","60","0","0","0.00","349591.67"
"2022-09-01","81","446","3","0.006726457399103139","259912.77","485858.30"
"2020-08-01","62","291","1","0.003436426116838488","112411.20","630577.32"
"2021-05-01","62","380","2","0.005263157894736842","148974.35","738760.53"
"2019-10-01","44","391","11","0.028132992327365727","1007373.84","525769.05"
"2020-02-01","44","275","8","0.02909090909090909","2349926.74","547468.36"
"2024-05-01","44","291","0","0","0.00","511977.66"
"2021-06-01","52","123","0","0","0.00","772001.63"
"2025-01-01","56","456","0","0","0.00","277795.83"
"2023-03-01","32","67","1","0.014925373134328358","145443.82","911122.39"
"2024-10-01","11","53","0","0","0.00","632341.51"
"2022-02-01","44","252","7","0.027777777777777776","383898.91","697411.90"
"2021-09-01","61","102","1","0.00980392156862745","39960.23","792247.06"
"2020-10-01","48","238","9","0.037815126050420166","707342.71","194739.50"
"2022-11-01","52","67","1","0.014925373134328358","100668.89","305356.72"
"2023-01-01","22","3","0","0","0.00","1115000.00"
"2022-08-01","42","199","7","0.035175879396984924","386635.42","655956.78"
"2022-04-01","45","223","4","0.017937219730941704","118099.83","711078.92"
"2023-08-01","54","480","5","0.010416666666666666","193759.80","289350.83"
"2022-12-01","72","565","9","0.01592920353982301","1515832.74","708113.45"
"2025-04-01","49","28","0","0","0.00","450103.57"
"2024-02-01","52","83","0","0","0.00","433971.08"
"2023-12-01","92","2","0","0","0.00","327500.00"
"2020-12-01","48","207","9","0.043478260869565216","1238864.50","321430.43"
"2020-08-01","44","304","4","0.013157894736842105","1617587.07","830878.29"
"2023-03-01","31","135","1","0.007407407407407408","53083.80","461528.89"
"2019-12-01","81","383","11","0.028720626631853787","1292327.41","453005.22"
"2021-07-01","51","68","0","0","0.00","948767.65"
"2024-08-01","55","1","0","0","0.00","4110000.00"
"2021-03-01","56","324","13","0.040123456790123455","1389684.87","292967.59"
"2023-09-01","32","99","0","0","0.00","1011942.42"
"2021-01-01","23","146","3","0.02054794520547945","510548.98","242243.15"
